u1,u2,p,s
105,95,2.151,0.521
105,95,2.151,0.521
105,95,2.151,0.521
105,95,2.151,0.521
105,95,2.151,0.521
105,95,2.15038417325212,0.521
105,95,2.14952117107437,0.521
105,95,2.14865816889662,0.521
105,95,2.14779516671888,0.521
105,95,2.147,0.521
105,95,2.147,0.521
105,95,2.147,0.521
105,95,2.147,0.521
105,95,2.147,0.521
105,95,2.14732922750089,0.521
105,95,2.14776139558397,0.521
105,95,2.14819356366705,0.521
105,95,2.14862573175014,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.149,0.521
105,95,2.14729063348707,0.520563161891141
105,95,2.14534550060391,0.520066072376556
105,95,2.14340036772075,0.519568982861971
105,95,2.14145523483759,0.519071893347385
105,95,2.14,0.5187
105,95,2.14,0.5187
105,95,2.14,0.5187
105,95,2.14,0.5187
105,95,2.14,0.5187
105.207443691668,95,2.14,0.5187
105.423111171428,95,2.14,0.5187
105.638778651189,95,2.14,0.5187
105.854446130949,95,2.14,0.5187
106,95,2.14,0.5187
106,95,2.14,0.5187
106,95,2.14,0.5187
106,95,2.14,0.5187
106,95,2.14000294181954,0.5187
106,95,2.14021836048858,0.5187
106,95,2.14043377915762,0.5187
106,95,2.14064919782665,0.5187
106,95,2.14086461649569,0.5187
106,95,2.141,0.5187
106,95,2.141,0.5187
106,95,2.141,0.5187
106,95,2.141,0.5187
106,95,2.14092119226012,0.5187
106,95,2.14005868896947,0.5187
106,95,2.13919618567882,0.5187
106,95,2.13833368238816,0.5187
106,95,2.13747117909751,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.137,0.5187
106,95,2.13708845157355,0.5187
106,95,2.13752036944153,0.5187
106,95,2.13795228730951,0.5187
106,95,2.13838420517748,0.5187
106,95,2.13881612304546,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.139,0.5187
106,95,2.13879164988223,0.5187
106,95,2.13814414796857,0.5187
106,95,2.13749664605491,0.5187
106,95,2.13684914414124,0.5187
106,95,2.13620164222758,0.5187
106,95,2.136,0.5187
106,95,2.136,0.5187
106,95,2.136,0.5187
