time_1,sb_1,pb_1,wb_1,time_2,sb_2,pb_2,wb_2,time_3,sb_3,pb_3,wb_3,time_4,sb_4,pb_4,wb_4,time_5,sb_5,pb_5,wb_5,time_6,sb_6,pb_6,wb_6,time_7,sb_7,pb_7,wb_7,time_8,sb_8,pb_8,wb_8,time_9,sb_9,pb_9,wb_9,time_10,sb_10,pb_10,wb_10
0,-8.02716088762166e-06,15851.1128987209,0,0,6.7146828217293e-05,182200.831744058,0,0,5.97189555993323e-05,165763.969255727,0,0,0.000116552336188192,291528.439048495,0,0,4.73045521263564e-05,138292.598480392,0,0,-2.03278413720504e-06,29115.8458064447,0,0,4.94215690905862e-05,142977.266421838,0,0,5.95953393276419e-05,165490.423415134,0,0,3.82783206492162e-05,118318.787241512,0,0,0.000105327034122442,266688.386460819,0
1e-05,-8.16334700452918e-06,15851.1128987209,-0.0268313703899321,1e-05,6.71645177432279e-05,182200.831744058,0.00333346197260113,1e-05,5.97107638122826e-05,165763.969255727,-0.00153888015157522,1e-05,0.000116755832094769,291528.439048495,0.0403381413158269,1e-05,4.72651348711443e-05,138292.598480392,-0.00751357649934496,1e-05,-2.15824065597304e-06,29115.8458064447,-0.0246778898058515,1e-05,4.93856975760621e-05,142977.266421838,-0.00682328650446736,1e-05,5.95867168887412e-05,165490.423415134,-0.0016199373449372,1e-05,3.82236155864486e-05,118318.787241512,-0.0105192191169431,1e-05,0.00010548708956961,266688.386460819,0.0316307530895514
2e-05,-8.56117454723311e-06,15851.1128987209,-0.0526275376968849,2e-05,6.72104674780291e-05,182200.831744058,0.00574752766326911,2e-05,5.96897810303297e-05,165763.969255727,-0.00259383636954157,2e-05,0.000117356435952002,291528.439048495,0.0796631107178459,2e-05,4.71582731085421e-05,138292.598480392,-0.0137603178245453,2e-05,-2.52376706682708e-06,29115.8458064447,-0.0483293378401547,2e-05,4.92891206233551e-05,142977.266421838,-0.0123864054650007,2e-05,5.95646210782339e-05,165490.423415134,-0.00273250058937651,2e-05,3.80715249789319e-05,118318.787241512,-0.01982510340514,2e-05,0.000105957311511872,266688.386460819,0.0623202876044559
3e-05,-9.21357251837901e-06,15851.1128987209,-0.0777261179198342,3e-05,6.72778480937422e-05,182200.831744058,0.00766836216560115,3e-05,5.96599193941477e-05,165763.969255727,-0.00333687478531664,3e-05,0.000118346667569378,291528.439048495,0.118260088156306,3e-05,4.69911588983639e-05,138292.598480392,-0.0196187875158933,3e-05,-3.12269365228915e-06,29115.8458064447,-0.0713404478553745,3e-05,4.91392964986687e-05,142977.266421838,-0.0175329060885413,3e-05,5.95331433414208e-05,165490.423415134,-0.0035197340294106,3e-05,3.78281850602137e-05,118318.787241512,-0.0287944801209092,3e-05,0.000106731600966431,266688.386460819,0.0924414945316053
4e-05,-1.01129899356572e-05,15851.1128987209,-0.102012807436298,4e-05,6.73628988820735e-05,182200.831744058,0.00930521892150838,4e-05,5.96237277275687e-05,165763.969255727,-0.00387334614010126,4e-05,0.000119719140468168,291528.439048495,0.156107924908926,4e-05,4.67666737350595e-05,138292.598480392,-0.0252409383588852,4e-05,-3.94809287053676e-06,29115.8458064447,-0.0936067952142807,4e-05,4.89392275320927e-05,142977.266421838,-0.0224458634202556,4e-05,5.94949378686849e-05,165490.423415134,-0.00409213568057246,4e-05,3.74966360536091e-05,118318.787241512,-0.0374626397207558,4e-05,0.000107804192108023,266688.386460819,0.121977939176986
5e-05,-1.12507595524813e-05,15851.1128987209,-0.125378977851745,5e-05,6.74633592330475e-05,182200.831744058,0.0107626109422164,5e-05,5.95829227012902e-05,165763.969255727,-0.00426799405471388,5e-05,0.000121466261649287,291528.439048495,0.193186469603544,5e-05,4.64871009228162e-05,138292.598480392,-0.0306342754271904,5e-05,-4.99201440818133e-06,29115.8458064447,-0.115028795495536,5e-05,4.86910737269349e-05,142977.266421838,-0.0271496094014144,5e-05,5.94517897534284e-05,165490.423415134,-0.00451700763291273,5e-05,3.70800466258321e-05,118318.787241512,-0.0457964876463434,5e-05,0.000109169158042458,266688.386460819,0.150913897654432
6e-05,-1.26171597503147e-05,15851.1128987209,-0.1477224543816,6e-05,6.75777430047407e-05,182200.831744058,0.0120968249449386,6e-05,5.95387016660246e-05,165763.969255727,-0.00456204852482453,6e-05,0.000123580241612712,291528.439048495,0.22947657345472,6e-05,4.6154808376531e-05,138292.598480392,-0.0357815026602487,6e-05,-6.24554136949225e-06,29115.8458064447,-0.135512782343635,6e-05,4.83969645386523e-05,142977.266421838,-0.0316344345885642,6e-05,5.94049460050501e-05,165490.423415134,-0.00483692762768433,6e-05,3.65819406373263e-05,118318.787241512,-0.0537601104870977,6e-05,0.000110820418548944,266688.386460819,0.179234428560687
7e-05,-1.42014811409246e-05,15851.1128987209,-0.168947922145237,7e-05,6.77049945667288e-05,182200.831744058,0.0133402840006126,7e-05,5.94919250405672e-05,165763.969255727,-0.00478283358164747,7e-05,0.000126053104382796,291528.439048495,0.264960090007356,7e-05,4.5772359962062e-05,138292.598480392,-0.0406620352965612,7e-05,-7.69885135603779e-06,29115.8458064447,-0.15497138048843,7e-05,4.80591693219235e-05,142977.266421838,-0.0358839728649161,7e-05,5.9355306411058e-05,165490.423415134,-0.00507999946186521,7e-05,3.60061915863346e-05,118318.787241512,-0.061319668453824,7e-05,0.000112751747904561,266688.386460819,0.2069253727833
8e-05,-1.59920970241106e-05,15851.1128987209,-0.188967290912564,8e-05,6.78443124907e-05,182200.831744058,0.0145126516417249,8e-05,5.94432260513919e-05,165763.969255727,-0.00494912372366207,8e-05,0.000128876697526682,291528.439048495,0.299619874018347,8e-05,4.53425229715492e-05,138292.598480392,-0.0452560319456434,8e-05,-9.34128108120204e-06,29115.8458064447,-0.173323840066124,8e-05,4.76801254907225e-05,142977.266421838,-0.0398814274439976,8e-05,5.93035373065058e-05,165490.423415134,-0.00526550188914509,8e-05,3.53569986923142e-05,118318.787241512,-0.0684438897172568,8e-05,0.000114956782703344,266688.386460819,0.233973352624602
9e-05,-1.7976537281374e-05,15851.1128987209,-0.207700017374469,9e-05,6.79950523927764e-05,182200.831744058,0.0156263165465134,9e-05,5.93930794841078e-05,165763.969255727,-0.00507421983425603,9e-05,0.00013204270215731,291528.439048495,0.333439779491728,9e-05,4.4868255518523e-05,138292.598480392,-0.0495452302582269,9e-05,-1.11613941339364e-05,29115.8458064447,-0.190496331989201,9e-05,4.72624336178548e-05,142977.266421838,-0.0436110789478901,9e-05,5.92501423149509e-05,165490.423415134,-0.00540710084871743,9e-05,3.46388604258679e-05,118318.787241512,-0.0751042146584799,9e-05,0.000117429029663298,266688.386460819,0.260365770265055
