time_1,sb_1,pb_1,wb_1,time_2,sb_2,pb_2,wb_2,time_3,sb_3,pb_3,wb_3,time_4,sb_4,pb_4,wb_4,time_5,sb_5,pb_5,wb_5,time_6,sb_6,pb_6,wb_6,time_7,sb_7,pb_7,wb_7,time_8,sb_8,pb_8,wb_8,time_9,sb_9,pb_9,wb_9,time_10,sb_10,pb_10,wb_10
0,-2.05778973761812e-06,29060.5118452195,0,0,1.16224227781309e-05,59332.9442761137,0,0,1.21481411411868e-05,60496.2868488236,0,0,-1.13114367118515e-05,8583.46132832611,0,0,5.08456044384923e-05,146128.461171121,0,0,1.06115992573382e-05,57096.1305791388,0,0,2.82116423144872e-05,96042.6099276871,0,0,3.19542518558381e-05,104324.491099148,0,0,7.29188750829358e-05,194973.579135735,0,0,5.06228117749359e-05,145635.451589154,0
1e-05,-2.18329094339281e-06,29060.5118452195,-0.02468685972583,1e-05,1.15212599246481e-05,59332.9442761137,-0.019801419032385,1e-05,1.20479085496208e-05,60496.2868488236,-0.0196147409861709,1e-05,-1.14535148805177e-05,8583.46132832611,-0.0280136717871034,1e-05,5.08121094385805e-05,146128.461171121,-0.00636229304221733,1e-05,1.05086465595714e-05,57096.1305791388,-0.0201606163589919,1e-05,2.81395896980654e-05,96042.6099276871,-0.0139698881775244,1e-05,3.18886819053308e-05,104324.491099148,-0.012676902808022,1e-05,7.29570227848091e-05,194973.579135735,0.00726870017682767,1e-05,5.05889454164766e-05,145635.451589154,-0.00643423793674359
2e-05,-2.54895196216581e-06,29060.5118452195,-0.0483472542222571,2e-05,1.12290115918158e-05,59332.9442761137,-0.0385684733406964,2e-05,1.17584699675409e-05,60496.2868488236,-0.0381938399232904,2e-05,-1.18690646256548e-05,8583.46132832611,-0.0549849402527862,2e-05,5.07223651191824e-05,146128.461171121,-0.0114762549128069,2e-05,1.02109929024027e-05,57096.1305791388,-0.0392890927683292,2e-05,2.79353104317428e-05,96042.6099276871,-0.0268195831980732,2e-05,3.17039576820835e-05,104324.491099148,-0.024200957853417,2e-05,7.306033945209e-05,194973.579135735,0.0133006018275104,2e-05,5.04981368893881e-05,145635.451589154,-0.0116178475774141
3e-05,-3.14810146979479e-06,29060.5118452195,-0.0713670725044831,3e-05,1.07515923461386e-05,59332.9442761137,-0.0568235200829382,3e-05,1.12857172803553e-05,60496.2868488236,-0.0562657515808546,3e-05,-1.25507833613127e-05,8583.46132832611,-0.0812271642249464,3e-05,5.05839863165215e-05,146128.461171121,-0.016151988815419,3e-05,9.72459813640829e-06,57096.1305791388,-0.0578962548707538,3e-05,2.76044228157509e-05,96042.6099276871,-0.0392944491883952,3e-05,3.14058071607685e-05,104324.491099148,-0.0353717161904552,3e-05,7.3221954462792e-05,194973.579135735,0.0189892756397047,3e-05,5.03579783336989e-05,145635.451589154,-0.0163667025521488
4e-05,-3.97380932540944e-06,29060.5118452195,-0.0936418481674946,4e-05,1.00945149671227e-05,59332.9442761137,-0.0744865723266385,4e-05,1.06351091221852e-05,60496.2868488236,-0.0737515436617433,4e-05,-1.34907782760696e-05,8583.46132832611,-0.106620707419812,4e-05,5.04000976882765e-05,146128.461171121,-0.0205916492683308,4e-05,9.05507925556344e-06,57096.1305791388,-0.0759001245663367,4e-05,2.71507795200822e-05,96042.6099276871,-0.0513618024744866,4e-05,3.09977448889593e-05,104324.491099148,-0.0461757281845426,4e-05,7.34396139740879e-05,194973.579135735,0.0245209440418504,4e-05,5.01715731705272e-05,145635.451589154,-0.0208801338448068
5e-05,-5.01812222551971e-06,29060.5118452195,-0.11507195905783,5e-05,9.264097940795e-06,59332.9442761137,-0.091478668980665,5e-05,9.8129012078029e-06,60496.2868488236,-0.0905730507343599,5e-05,-1.4679989214432e-05,8583.46132832611,-0.131051987096417,5e-05,5.01728119917103e-05,146128.461171121,-0.0248326322555779,5e-05,8.20887545331554e-06,57096.1305791388,-0.0932202115761688,5e-05,2.65787230844451e-05,96042.6099276871,-0.0629683624944596,5e-05,3.04836713993893e-05,104324.491099148,-0.0565661807388084,5e-05,7.37119657264192e-05,194973.579135735,0.0299296098226673,5e-05,4.99410393384832e-05,145635.451589154,-0.0251934158507482
6e-05,-6.27211991804226e-06,29060.5118452195,-0.135563703323588,6e-05,8.26742624982916e-06,59332.9442761137,-0.107725533584681,6e-05,8.82610803966909e-06,60496.2868488236,-0.106656743138668,6e-05,-1.61082535559292e-05,8583.46132832611,-0.154414167377144,6e-05,4.9904117192219e-05,146128.461171121,-0.0288717177609871,6e-05,7.19320724010034e-06,57096.1305791388,-0.109780803611296,6e-05,2.58931175452823e-05,96042.6099276871,-0.0740634540362357,6e-05,2.98679511610712e-05,104324.491099148,-0.0664977689576555,6e-05,7.40378119464386e-05,194973.579135735,0.0352198688613028,6e-05,4.96683856219876e-05,145635.451589154,-0.0293022300263252
7e-05,-7.72597630497997e-06,29060.5118452195,-0.155029672570842,7e-05,7.1123028967075e-06,59332.9442761137,-0.123157885388295,7e-05,7.68245491907572e-06,60496.2868488236,-0.121934037058604,7e-05,-1.77643758432313e-05,8583.46132832611,-0.176607583978041,7e-05,4.9596093333829e-05,146128.461171121,-0.0326960578799823,7e-05,6.01602702951067e-06,57096.1305791388,-0.125511279970243,7e-05,2.50993168628891e-05,96042.6099276871,-0.0845998080550308,7e-05,2.91553869024562e-05,104324.491099148,-0.075928200262504,7e-05,7.44159648109927e-05,194973.579135735,0.0403906152427334,7e-05,4.9355721016024e-05,145635.451589154,-0.0331931309351139
8e-05,-9.36902408131185e-06,29060.5118452195,-0.173389086311582,8e-05,5.80719759565489e-06,59332.9442761137,-0.137711704399821,8e-05,6.39032715022441e-06,60496.2868488236,-0.136341556914978,8e-05,-1.9636201441698e-05,8583.46132832611,-0.197540125621876,8e-05,4.92509601330327e-05,146128.461171121,-0.0362911921890503,8e-05,4.68596684547613e-06,57096.1305791388,-0.140346381700586,8e-05,2.42031298115459e-05,96042.6099276871,-0.0945337594113568,8e-05,2.83511882671231e-05,104324.491099148,-0.0848184107101278,8e-05,7.4845218709938e-05,194973.579135735,0.0454396977759968,8e-05,4.90052989629461e-05,145635.451589154,-0.0368512704541838
9e-05,-1.11898225243138e-05,29060.5118452195,-0.190568087445874,9e-05,4.36119296877815e-06,59332.9442761137,-0.151328465427298,9e-05,4.9587167736589e-06,60496.2868488236,-0.149821367043598,9e-05,-2.17106937919108e-05,8583.46132832611,-0.217127571043145,9e-05,4.88710799500241e-05,146128.461171121,-0.0396432301907517,9e-05,3.21228348528421e-06,57096.1305791388,-0.154226450182837,9e-05,2.32107831217507e-05,96042.6099276871,-0.103825406780732,9e-05,2.74609387810162e-05,104324.491099148,-0.0931327099680531,9e-05,7.53243456909959e-05,194973.579135735,0.050364861135025,9e-05,4.86195189105335e-05,145635.451589154,-0.0402624621047184
