time_1,sb_1,pb_1,wb_1,time_2,sb_2,pb_2,wb_2,time_3,sb_3,pb_3,wb_3,time_4,sb_4,pb_4,wb_4,time_5,sb_5,pb_5,wb_5,time_6,sb_6,pb_6,wb_6,time_7,sb_7,pb_7,wb_7,time_8,sb_8,pb_8,wb_8,time_9,sb_9,pb_9,wb_9,time_10,sb_10,pb_10,wb_10,time_11,sb_11,pb_11,wb_11,time_12,sb_12,pb_12,wb_12,time_13,sb_13,pb_13,wb_13,time_14,sb_14,pb_14,wb_14,time_15,sb_15,pb_15,wb_15,time_16,sb_16,pb_16,wb_16,time_17,sb_17,pb_17,wb_17,time_18,sb_18,pb_18,wb_18,time_19,sb_19,pb_19,wb_19,time_20,sb_20,pb_20,wb_20
0,-1.98e-06,102074.234282052,0,0,5.964e-05,172426.427036958,0,0,0.00011934,188380.051109958,0,0,0.00018006,197837.096307871,0,0,0.00023976,213091.721387982,0,0,0.00029946,218930.418857997,0,0,0.00036018,229991.049980773,0,0,0.00042186,249521.904193854,0,0,0.00047952,260541.417728813,0,0,0.00054018,271108.637797784,0,0,0.0005979,315433.397464522,0,0,0.00054018,277605.216672872,0,0,0.00047952,262967.355410016,0,0,0.00041982,249316.316254769,0,0,0.00036012,230361.108271126,0,0,0.00030042,222507.648998077,0,0,0.0002397,206636.260100711,0,0,0.00018,197261.450078433,0,0,0.00012036,182459.118464308,0,0,5.964e-05,174646.776779077,0
1e-05,-1.97194765352596e-06,102082.457799616,0.00151260665409988,1e-05,5.964e-05,172463.432865993,0,1e-05,0.000119348370585723,188336.87764275,0.00156985658885957,1e-05,0.00018006,197822.705152135,0,1e-05,0.000239765295529386,213091.721387982,0.000994275911188549,1e-05,0.000299452585087081,218959.201169469,-0.00139093101379859,1e-05,0.000360168573676189,230023.944051027,-0.00214626357212507,1e-05,0.00042186,249507.513038118,0,1e-05,0.00047952,260510.57953795,0,1e-05,0.000540171213937212,271092.190762658,-0.00165175964781971,1e-05,0.0005979,315425.173946959,0,1e-05,0.00054018,277611.384311045,0,1e-05,0.00047952,262996.137721488,0,1e-05,0.00041982,249324.539772332,0,1e-05,0.000360109209949605,230336.437718436,-0.0020298324587107,1e-05,0.00030042,222480.922565996,0,1e-05,0.000239694080187066,206681.48944731,-0.00110879660121775,1e-05,0.00018,197238.835405133,0,1e-05,0.00012036,182483.789016999,0,1e-05,5.96473468076758e-05,174650.888537858,0.00138015711552218
2e-05,-1.95133463014912e-06,102090.681317179,0.00254635047743175,2e-05,5.964e-05,172500.438695029,0,2e-05,0.000119369716840853,188293.704175542,0.00263242697670391,2e-05,0.00018006,197808.313996399,0,2e-05,0.000239778826259566,213091.721387982,0.0016689987723269,2e-05,0.000299433672120144,218987.983480941,-0.00233192582153845,2e-05,0.000360139268262157,230056.838121281,-0.00362955102347914,2e-05,0.00042186,249493.121882382,0,2e-05,0.00047952,260479.741347087,0,2e-05,0.00054014865730342,271075.743727531,-0.00279250198457063,2e-05,0.0005979,315416.950429395,0,2e-05,0.00054018,277617.551949217,0,2e-05,0.00047952,263024.92003296,0,2e-05,0.00041982,249332.763289895,0,2e-05,0.000360081431711161,230311.767165746,-0.00344679996531121,2e-05,0.00030042,222454.196133915,0,2e-05,0.000239679050150065,206726.718793909,-0.00184766151977586,2e-05,0.00018,197216.220731834,0,2e-05,0.00012036,182508.459569689,0,2e-05,5.96661591158368e-05,174655.00029664,0.00232449325273055
3e-05,-1.92205724075323e-06,102098.904834742,0.00326699535323593,3e-05,5.964e-05,172537.444524064,0,3e-05,0.000119399934288659,188250.530708335,0.00336720803849029,3e-05,0.00018006,197793.922840663,0,3e-05,0.000239797973820909,213091.721387982,0.00213195424966021,3e-05,0.000299406917788803,219016.765792413,-0.00297958334701439,3e-05,0.000360097337296438,230089.732191534,-0.00470279893067317,3e-05,0.00042186,249478.730726646,0,3e-05,0.00047952,260448.903156224,0,3e-05,0.000540116443612873,271059.296692404,-0.00360689252729363,3e-05,0.0005979,315408.726911832,0,3e-05,0.00054018,277623.71958739,0,3e-05,0.00047952,263053.702344432,0,3e-05,0.00041982,249340.986807459,0,3e-05,0.000360041528534739,230287.096613056,-0.00448410570650889,3e-05,0.00030042,222427.469701834,0,3e-05,0.000239657937766595,206771.948140507,-0.00234178755150998,3e-05,0.00018,197193.606058535,0,3e-05,0.00012036,182533.130122379,0,3e-05,5.96928981971772e-05,174659.112055422,0.00298537349546146
4e-05,-1.88669298364657e-06,102107.128352306,0.00377690729370856,4e-05,5.964e-05,172574.450353099,0,4e-05,0.000119436337473715,188207.357241127,0.0038835708401402,4e-05,0.00018006,197779.531684927,0,4e-05,0.00023982099430443,213091.721387982,0.00245280005564482,4e-05,0.000299374729781695,219045.548103885,-0.00343126377755213,4e-05,0.000360046092714856,230122.626261788,-0.00550996373561608,4e-05,0.00042186,249464.33957091,0,4e-05,0.00047952,260418.064965362,0,4e-05,0.00054007722995569,271042.849657277,-0.00420671712350503,4e-05,0.0005979,315400.503394269,0,4e-05,0.00054018,277629.887225562,0,4e-05,0.00047952,263082.484655904,0,4e-05,0.00041982,249349.210325022,0,4e-05,0.000359992558450475,230262.426060366,-0.00527694816857164,4e-05,0.00030042,222400.743269753,0,4e-05,0.000239632760320021,206817.177487106,-0.00267121149252718,4e-05,0.00018,197170.991385235,0,4e-05,0.00012036,182557.800675069,0,4e-05,5.97252420316473e-05,174663.223814203,0.00345773599748042
5e-05,-1.84700751016708e-06,102115.351869869,0.00413956975008755,5e-05,5.964e-05,172611.456182135,0,5e-05,0.000119477103964088,188164.183773919,0.00424863447229012,5e-05,0.00018006,197765.140529191,0,5e-05,0.000239846708212338,213091.721387982,0.00267666559622254,5e-05,0.000299338740545177,219074.330415357,-0.00374784245412028,5e-05,0.000359987746508866,230155.520332041,-0.00613354994900547,5e-05,0.00042186,249449.948415174,0,5e-05,0.00047952,260387.226774499,0,5e-05,0.000540032795758189,271026.40262215,-0.00465979167743318,5e-05,0.0005979,315392.279876705,0,5e-05,0.00054018,277636.054863735,0,5e-05,0.00047952,263111.266967376,0,5e-05,0.00041982,249357.433842586,0,5e-05,0.000359936539224359,230237.755507675,-0.00590391949457191,5e-05,0.00030042,222374.016837672,0,5e-05,0.000239604889011535,206862.406833705,-0.00288742665230122,5e-05,0.00018,197148.376711936,0,5e-05,0.00012036,182582.47122776,0,5e-05,5.97616245447385e-05,174667.335572985,0.00380090738974625
6e-05,-1.80425465273814e-06,102123.575387433,0.0043958824473513,6e-05,5.964e-05,172648.46201117,0,6e-05,0.000119520950286598,188121.010306711,0.00450527694532461,6e-05,0.00018006,197750.749373455,0,6e-05,0.000239874304690865,213091.721387982,0.00283333801758738,6e-05,0.000299300090691113,219103.112726829,-0.0039686755653203,6e-05,0.000359923865375562,230188.414402295,-0.00662346728408024,6e-05,0.00042186,249435.557259438,0,6e-05,0.00047952,260356.388583636,0,6e-05,0.000539984379329788,271009.955587024,-0.00500883324058165,6e-05,0.0005979,315384.056359142,0,6e-05,0.00054018,277642.222501908,0,6e-05,0.00047952,263140.049278848,0,6e-05,0.00041982,249365.657360149,0,6e-05,0.000359874871456192,230213.084954985,-0.00641292411426552,6e-05,0.00030042,222347.290405591,0,6e-05,0.000239575274709694,206907.636180303,-0.00302441026202099,6e-05,0.00018,197125.762038636,0,6e-05,0.00012036,182607.14178045,0,6e-05,5.98009583135874e-05,174671.447331767,0.00405310790970096
7e-05,-1.75935172401842e-06,102131.798904996,0.00457336988951752,7e-05,5.964e-05,172685.467840205,0,7e-05,0.000119566944472168,188077.836839503,0.00468212781668765,7e-05,0.00018006,197736.358217719,0,7e-05,0.000239903218579043,213091.721387982,0.00294288726904038,7e-05,0.000299259597319779,219131.895038301,-0.0041201604570051,7e-05,0.000359855614961664,230221.308472549,-0.00701171175421796,7e-05,0.00042186,249421.166103702,0,7e-05,0.00047952,260325.550392773,0,7e-05,0.000539932871350384,270993.508551897,-0.00528191014868341,7e-05,0.0005979,315375.832841578,0,7e-05,0.00054018,277648.39014008,0,7e-05,0.00047952,263168.83159032,0,7e-05,0.00041982,249373.880877712,0,7e-05,0.000359808570382741,230188.414402295,-0.00683471254827018,7e-05,0.00030042,222320.56397351,0,7e-05,0.000239544587379566,206952.865526902,-0.00310519245382874,7e-05,0.00018,197103.147365337,0,7e-05,0.00012036,182631.81233314,0,7e-05,5.98424692614732e-05,174675.559090548,0.00423981804254069
8e-05,-1.71298514478982e-06,102140.022422559,0.00469131829660659,8e-05,5.964e-05,172722.473669241,0,8e-05,0.000119614393790026,188034.663372295,0.0047990810126354,8e-05,0.00018006,197721.967061983,0,8e-05,0.000239933051713101,213091.721387982,0.0030190830368247,8e-05,0.000299217857082248,219160.677349773,-0.00422059395285814,8e-05,0.000359783897320712,230254.202542802,-0.00731989749959876,8e-05,0.00042186,249406.774947966,0,8e-05,0.00047952,260294.712201911,0,8e-05,0.000539878929849824,270977.06151677,-0.00549818699811403,8e-05,0.0005979,315367.609324015,0,8e-05,0.00054018,277654.557778253,0,8e-05,0.00047952,263197.613901791,0,8e-05,0.00041982,249382.104395276,0,8e-05,0.00035973839833534,230163.743849605,-0.00718996093539427,8e-05,0.00030042,222293.837541429,0,8e-05,0.000239513304441083,206998.094873501,-0.0031457474100822,8e-05,0.00018,197080.532692038,0,8e-05,0.00012036,182656.48288583,0,8e-05,5.98855953317543e-05,174679.67084933,0.00437855755500225
9e-05,-1.66567680360178e-06,102148.245940123,0.0047637172416082,9e-05,5.964e-05,172759.479498276,0,9e-05,0.000119662774495016,187991.489905087,0.00487043307474709,9e-05,0.00018006,197707.575906247,0,9e-05,0.000239963521323461,213091.721387982,0.00307151110871368,9e-05,0.000299175311787173,219189.459661245,-0.00428300766951798,9e-05,0.000359709432502996,230287.096613056,-0.00756330451320092,9e-05,0.00042186,249392.38379223,0,9e-05,0.00047952,260263.874011048,0,9e-05,0.000539823051471612,270960.614481643,-0.00567118433695213,9e-05,0.0005979,315359.385806452,0,9e-05,0.00054018,277660.725416425,0,9e-05,0.00047952,263226.396213263,0,9e-05,0.00041982,249390.327912839,0,9e-05,0.000359664944322274,230139.073296915,-0.00749313167675821,9e-05,0.00030042,222267.111109348,0,9e-05,0.000239481768566593,207043.3242201,-0.00315735685438447,9e-05,0.00018,197057.918018738,0,9e-05,0.00012036,182681.15343852,0,9e-05,5.99299220911818e-05,174683.782608112,0.00448168785140016
